dataset_name_en,url,Summary,Open conditions,Data Classification,Data Format,Provide departments / entities,Department Phone Number,Department E-Mail,Update frequency,Basic Info API,Field Name,Field Types,Field Var Len,Field Description (T_Chinese),Field Description (S_Chinese),Field Description (English),Field Description (Portuguese),has_api,API name,Request Method,Return Format,API url,Interface Description,api_key,api_val,api_summary_en
Disease Prevention and Control category by location number vaccinated,https://data.gov.mo/Detail?id=9528b8da-f04a-45ed-bd04-540804fa3b60,"CDC category, to divide the number of locations vaccinated",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/9528b8da-f04a-45ed-bd04-540804fa3b60?token=OwJBDg1kJjvLLnUaGSkqP8k5f0CS1u1K&isNeedFile=0&lang=TC,"['year', 'vaccinationTC', 'vaccinationPT', 'locationTC', 'locationPT', 'count']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['年度', '疫苗(中文)', '疫苗(葡文)', '地點(中文)', '地點(葡文)', '疫苗接種的數目']","['年度', '疫苗(中文)', '疫苗(葡文)', '地点(中文)', '地点(葡文)', '疫苗接种的数目']","['year', 'vaccination(chinese)', 'vaccination(português)', 'location(chinese)', 'location(português)', 'number of vaccination']","['year', 'vaccination(chinese)', 'vaccination(português)', 'location(chinese)', 'location(português)', 'number of vaccination']",FALSE,,,,,,,,
The number of medical health statistics category,https://data.gov.mo/Detail?id=e5023a7d-2ce8-4632-b2d0-ae3bcf47b7ed,"Health category, the number of medical statistics",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/e5023a7d-2ce8-4632-b2d0-ae3bcf47b7ed?token=IdT93xCosW5LhUCl6NEn3B7iQP2nVV3D&isNeedFile=0&lang=TC,"['year', 'personnelTC', 'personnelPT', 'gender', 'numberOfPersonnels']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['年度', '人員(中文)', '人員(葡文)', '性別', '人員數目']","['年度', '人员(中文)', '人员(葡文)', '性别', '人员数目']","['year', 'personnel(Chinese)', 'personnel(Português)', 'gender', 'number of personnels']","['ano', 'pessoal (chinês)', 'pessoal (português)', 'sexo', 'número de pessoas']",FALSE,,,,,,,,
General health care category (other) Macao medication profiles,https://data.gov.mo/Detail?id=fa5e526f-0734-40a7-b829-f9071f9bfd3c,"General health care category (the other), the Australian medication profiles",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/fa5e526f-0734-40a7-b829-f9071f9bfd3c?token=jWHERBKw5nGZH22t6E4UVSKqUDS1xlAj8&isNeedFile=0&lang=TC,"['year', 'categoryTC', 'categoryPT', 'value']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年度', '分類(中文)', '分類(葡文)', '數值']","['年度', '分类(中文)', '分类(葡文)', '数值']","['year', 'category(chinese)', 'category(português)', 'value']","['ano', 'classificação(chinês)', 'classificação(português)', 'valor']",FALSE,,,,,,,,
Student enrollment statistics ─ Macao universities divided according to the degree course,https://data.gov.mo/Detail?id=044d7c01-dc57-475c-8b09-114c591f6615,"By way of the academic year, degree courses provided by institutions of higher learning in Macau divided enrollments.",Completely open,education,CSV,Council of Higher Education,（853）2834 5403,info@dses.gov.mo,Per year,https://api.data.gov.mo/document/download/044d7c01-dc57-475c-8b09-114c591f6615?token=wuOc0vYwSYEnL0wLvvQe774vQPsXZ2b6&isNeedFile=0&lang=TC,"['period', 'levelOfStudyTC', 'levelOfStudyPT', 'value']","['string', 'string', 'string', 'number']","['-', '-', '-', '-']","['年份', '課程程度(繁體中文)', '課程程度(葡文)', '註冊學生人數']","['年份', '课程程度(繁体中文)', '课程程度(葡文)', '注册学生人数']","['-', '-', '-', '-']","['Ano', 'Nível de curso (caracteres chineses)', 'Nível de curso (caracteres em português)', 'Número de estudantes matriculados']",FALSE,,,,,,,,
Financial management areas divided by actual expenditure budget,https://data.gov.mo/Detail?id=19d18f13-8b96-4889-bf51-928d92663891,"Financial management category, divided by actual expenditure budget",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/19d18f13-8b96-4889-bf51-928d92663891?token=wwydKE2CuNlZldt67LOUNg23zbDmOyYE&isNeedFile=0&lang=TC,"['year', 'itemTC', 'itemPT', 'millionOfExpenditure']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年度', '預算項目(中文)', '預算項目(葡文)', '開支(百萬澳門幣)']","['年度', '预算项目(中文)', '预算项目(葡文)', '开支(百万澳门币)']","['year', 'item of buget(chinese)', 'item of buget(português)', 'million of expenditure(MOP)']","['ano', 'rubrica orçamental (chinês)', 'rubrica orçamental (português)', 'despesa (milhões de MOP)']",FALSE,,,,,,,,
Special SME Credit Guarantee Scheme statistics - to benefit industry,https://data.gov.mo/Detail?id=4d051587-0ab4-4d8b-9f83-1accafc38ba2,SME Credit Guarantee Scheme to provide special benefit industry statistics,Completely open,Entrepreneurship and Business,CSV,Economic and Technology Development Council,(853) 2888 2088,info@economia.gov.mo,per month,https://api.data.gov.mo/document/download/4d051587-0ab4-4d8b-9f83-1accafc38ba2?token=BvwFc9tsnstu1cQS6bCSTX9ZB824dd9q&isNeedFile=0&lang=TC,"['Year', 'ChineseName', 'PortugueseName', 'ApprovedAmount']","['int', 'string', 'string', 'double']","['4', '*', '*', '-']","['年', '行業分類（中文）', '行業分類（葡文）', '批准金額（MOP）']","['年', '行业分类（中文）', '行业分类（葡文）', '批准金额（MOP）']","['Year', 'Classification of Economic Activities (Chinese)', 'Classification of Economic Activities (Portuguese)', 'Approved Amount (MOP)']","['Ano', 'Classificação de atividades econômicas (Chinês)', 'Classificação das Atividades Econômicas (português)', 'Montantes aprovados (MOP)']",FALSE,,,,,,,,
UV Forecast,https://data.gov.mo/Detail?id=7baa885b-7dca-4efa-ab65-16c6dee4ddd2,Day's UV Index forecast.,Completely open,city ​​environment,XML,Meteorological and Geophysical Bureau,(853) 8898 6223,meteo@smg.gov.mo,daily,https://api.data.gov.mo/document/download/7baa885b-7dca-4efa-ab65-16c6dee4ddd2?token=pB6xnt5M8NkVS1veIuiBdOLvJHTBtnnt&isNeedFile=0&lang=TC,,,,,,,,FALSE,,,,,,,,
"""Star Tourism Services Accreditation Scheme 'award-winning restaurants and eateries",https://data.gov.mo/Detail?id=92de06db-9779-4f44-9c34-1859561d048f,"""Star Tourism Services Accreditation Scheme 'award-winning restaurants and eateries",Completely open,Tourism and Gaming,XML,Tourism,(853)28315566,webmaster@macaotourism.gov.mo,daily,https://api.data.gov.mo/document/download/92de06db-9779-4f44-9c34-1859561d048f?token=DF27pgbFRxQD5mEiBQ0890K48oH9zosoY&isNeedFile=0&lang=TC,"['mgto/qtsas_restaurant/id', 'mgto/qtsas_restaurant/name_zh', 'mgto/qtsas_restaurant/name_en', 'mgto/qtsas_restaurant/name_gb', 'mgto/qtsas_restaurant/name_pt', 'mgto/qtsas_restaurant/award/award_name_zh', 'mgto/qtsas_restaurant/award/award_name_en', 'mgto/qtsas_restaurant/award/award_name_gb', 'mgto/qtsas_restaurant/award/award_name_pt', 'mgto/qtsas_restaurant/dish_name_zh', 'mgto/qtsas_restaurant/dish_name_en', 'mgto/qtsas_restaurant/dish_name_gb', 'mgto/qtsas_restaurant/dish_name_pt', 'mgto/qtsas_restaurant/category_zh', 'mgto/qtsas_restaurant/category_en', 'mgto/qtsas_restaurant/category_gb', 'mgto/qtsas_restaurant/category_pt']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string']","['*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']","['序號', '繁體中文名稱', '英文名稱', '簡體中文名稱', '葡文名稱', '獎項繁體中文名稱', '獎項英文名稱', '獎項簡體中文名稱', '獎項葡文名稱', '繁體中文菜式分類名稱', '簡體中文菜式分類名稱', '英文菜式分類名稱', '葡文菜式分類名稱', '繁體中文餐廳等級', '簡體中文餐廳等級', '英文餐廳等級', '葡文餐廳等級']","['序号', '繁体中文名称', '英文名称', '简体中文名称', '葡文名称', '奖项繁体中文名称', '奖项英文名称', '奖项简体中文名称', '奖项葡文名称', '繁体中文菜式分类名称', '简体中文菜式分类名称', '英文菜式分类名称', '葡文菜式分类名称', '繁体中文餐厅等级', '简体中文餐厅等级', '英文餐厅等级', '葡文餐厅等级']","['serial number', 'Name in T.Chinese', 'Name in English', 'Name in S.Chinese', 'Name in Portguese', 'Award in Traditional Chinese', 'Award in English', 'Award in Simplified Chinese', 'Award in Portuguese', 'Dish name in T.Chinese', 'Dish name in S.Chinese', 'Dish name in English', 'Dish name in Portuguese', 'Restaurant Category in Traditional Chinese', 'Restaurant Category in Simplified Chinese', 'Restaurant Category in English', 'Restaurant Category in Portuguese']","['Ordem', 'Nome em Chinês T.', 'Nome em Inglês', 'Nome em Chinês S.', 'Nome em Português', 'Nome do prémio em Chinês T.', 'Nome do Prémio em Inglês', 'Nome do prémio em Chineês S.', 'Nome do prémio em Português', 'Nome de classificação dos pratos em Chinês T.', 'Nome de classificação dos pratos em Chinês S.', 'Nome de classificação dos pratos em Inglês', 'Nome de classificação dos pratos em Português', 'Categoria do restaurante em Chinês T.', 'Categoria do restaurante em Chinês S.', 'Categoria do restaurante em Inglês', 'Categoria do restaurante em Português']",FALSE,,,,,,,,
General health care category (health center) are divided by age group Health Center outpatient visits,https://data.gov.mo/Detail?id=af5492e6-4613-4995-8ee1-30f6f6284b3e,"General health care category (health center), the group is divided according to the age of outpatient health centers",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/af5492e6-4613-4995-8ee1-30f6f6284b3e?token=6VCKpPKGZRvqZH0CzDPKl1kYLRKMAnXNH&isNeedFile=0&lang=TC,"['year', 'fromAge', 'toAge', 'gender', 'count']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['年度', '歲數由', '歲數至', '性別', '門診人次']","['年度', '岁数由', '岁数至', '性别', '門診人次']","['year', 'lower age range', 'upper age range', 'gender', 'outpatient visits']","['ano', 'faixa etária inferior', 'faixa etária superior', 'gênero', 'número de consultas externas']",FALSE,,,,,,,,
The number of Macao Higher Education Staff ─ statistics by sex,https://data.gov.mo/Detail?id=c5e87e46-78a0-4f6e-bde1-321ae7dec971,"By way of the academic year, the number of Macao universities to provide teaching staff by sex.",Completely open,education,CSV,Council of Higher Education,（853）2834 5403,info@dses.gov.mo,Per year,https://api.data.gov.mo/document/download/c5e87e46-78a0-4f6e-bde1-321ae7dec971?token=ICWMKgOOG0KYPBLFXOSOI5E9yyc78hiVP&isNeedFile=0&lang=TC,"['period', 'genderTC', 'genderPT', 'value']","['string', 'string', 'string', 'number']","['-', '-', '-', '-']","['年份', '性別(繁體中文)', '性別(葡文)', '教職員人數']","['年份', '性別(繁体中文)', '性別(葡文)', '教职员人数']","['-', '-', '-', '-']","['Ano', 'Sexo (caracteres chineses)', 'Sexo (caracteres em português)', 'Número de docentes e trabalhadores']",FALSE,,,,,,,,
The number of public parking,https://data.gov.mo/Detail?id=dfadef52-86d8-4415-a86c-027fe1b0b78b,The number of public parking,Completely open,Public transit,XLSX,Transport Bureau,88666363,info@dsat.gov.mo,Quarterly,https://api.data.gov.mo/document/download/dfadef52-86d8-4415-a86c-027fe1b0b78b?token=wvWGmaxxXlpv9lXqiUFYseWhUsO5DfA0E&isNeedFile=0&lang=TC,"['year', 'item', 'subitem', 'month', 'amount']","['number', 'string', 'string', 'number', 'string']","['10', '100', '100', '10', '100']","['年份', '項目', '子項目', '月份', '總數']","['年份', '项目', '子项目', '月份', '总数']","['--', '--', '--', '--', '--']","['--', '--', '--', '--', '--']",FALSE,,,,,,,,
General health care category (other) successful blood donors and blood donation by age group divided by the number of times,https://data.gov.mo/Detail?id=f10c1cd9-752f-47b6-9a5f-3270d00db92d,"General health care category (other), a successful blood donors and blood donation by age group divided by the number of times",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/f10c1cd9-752f-47b6-9a5f-3270d00db92d?token=qxqeVWZac1QSewj2pbEeH5oNcRiyTvDu&isNeedFile=0&lang=TC,"['ageGroup', 'gender', 'numberOfDonation', 'numberOfDonor']","['-', '-', '-', '-']","['-', '-', '-', '-']","['歲組', '性別', '捐血次數', '捐血人數']","['岁组', '性别', '捐血次数', '捐血人数']","['age group', 'gender', 'number of donation', 'number of donor']","['grupo etário', 'sexo', 'número de doações', 'número de doações']",FALSE,,,,,,,,
Utility patent registration applications,https://data.gov.mo/Detail?id=0de74d36-1b39-4c72-a59f-ce271f6777f7,"Per month manner, provide practical application for patent registration statistics",Completely open,Entrepreneurship and Business,CSV,Economic and Technology Development Council,(853) 2888 2088,info@economia.gov.mo,per month,https://api.data.gov.mo/document/download/0de74d36-1b39-4c72-a59f-ce271f6777f7?token=F8lO2ArUzprF9Jgd8QlhKeSYBWNlLyfP&isNeedFile=0&lang=TC,"['Year', 'Month', 'Quantity']","['int', 'int', 'int']","['4', '2', '6']","['年', '月', '數量']","['年', '月', '數量']","['Year', 'Month', 'Quantity']","['Ano', 'Mês', 'Quantidade']",FALSE,,,,,,,,
The first ten reasons for seeking treatment in general health care category (Health Center) seeking primary health care,https://data.gov.mo/Detail?id=190885f5-b2e4-481a-bd48-20f98cefdeb0,"General health care category (health center), the first ten attendances reason to seek primary health care",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/190885f5-b2e4-481a-bd48-20f98cefdeb0?token=gBMJUa4BLetU2BifCpQSEX5LrnTe8XMUh&isNeedFile=0&lang=TC,"['year', 'category', 'reasonTC', 'reasonPT', 'gender', 'value']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['年度', '分類(ICPC-2)', '求診原因(中文)', '求診原因(葡文)', '性別', '數值']","['年度', '分类(ICPC-2)', '求诊原因(中文)', '求诊原因(葡文)', '性别', '数值']","['year', 'category(ICPC-2)', 'motivo de procura(chinese)', 'motivo de procura(português)', 'sex', 'value']","['year', 'category(ICPC-2)', 'motivo de procura(chinese)', 'motivo de procura(português)', 'sex', 'value']",FALSE,,,,,,,,
SME Assistance Program statistics - Application Overview,https://data.gov.mo/Detail?id=32716464-dc43-44d8-9609-9720b4d16e3c,Provide annual statistics application and approval of the SME Assistance Program,Completely open,Entrepreneurship and Business,CSV,Economic and Technology Development Council,(853) 2888 2088,info@economia.gov.mo,per month,https://api.data.gov.mo/document/download/32716464-dc43-44d8-9609-9720b4d16e3c?token=LIQFg1lBjI3IbI7LoM6y7Wx03pz0Zeru4&isNeedFile=0&lang=TC,"['Year', 'Month', 'Applied', 'Approved', 'Rejected', 'ApprovedAmount']","['int', 'int', 'int', 'int', 'int', 'int']","['4', '2', '-', '-', '-', '-']","['年', '月', '申請宗數', '批准宗數', '不批准宗數', '批准金額']","['年', '月', '申请宗数', '批准宗数', '不批准宗数', '批准金额']","['Year', 'Month', 'Number of applications', 'Number of approved applications', 'Number of rejected applications', 'Approved amount']","['Ano', 'Mês', 'Número de pedidos', 'Número de pedidos aprovados', 'Número de pedidos indeferidos', 'Montantes aprovados']",FALSE,,,,,,,,
The average daily wage of local construction workers,https://data.gov.mo/Detail?id=4b526f6a-eb74-42ac-9d9b-0b0ecbcfa783,"The sum of the daily wage of local construction workers, divided by the number of local construction workers.",Completely open,Demography,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/4b526f6a-eb74-42ac-9d9b-0b0ecbcfa783?token=KgH0o0QYupTuNQXW4ByD7kllEXcjGru8v&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '平均日薪/澳門元']","['年份', '平均日薪/澳门元']","['Year', 'Average wages/MOP']","['Ano', 'Salário diário médio/MOP']",FALSE,,,,,,,,
The value of exports of goods CEPA,https://data.gov.mo/Detail?id=57fc99fd-b8fa-4256-859d-6e6c2da66788,"Per month way, the value of exports of goods CEPA provides statistics",Completely open,Entrepreneurship and Business,CSV,Economic and Technology Development Council,(853) 2888 2088,info@economia.gov.mo,per month,https://api.data.gov.mo/document/download/57fc99fd-b8fa-4256-859d-6e6c2da66788?token=1lM1Q1Cv3gBVu9RULykn1Yb58QLdjEWek&isNeedFile=0&lang=TC,"['Year', 'Month', 'Amount']","['int', 'int', 'int']","['4', '2', '-']","['年', '月', '貨物出口金額（澳門元）']","['年', '月', '货物出口金额（澳门元）']","['Year', 'Month', 'Exports of CEPA Goods (MOP)']","['Ano', 'Mês', 'Valor das exportações de mercadorias com isenção de direitos aduaneiros (MOP)']",FALSE,,,,,,,,
General Health Care Category (Health Center) Group Health Center for Health Education,https://data.gov.mo/Detail?id=5aee9f9e-2d7e-4cce-ba91-709b342891fa,"General health care category (health center), the Group Health Center for Health Education",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/5aee9f9e-2d7e-4cce-ba91-709b342891fa?token=6TgYkwW7aFC3aeMFJrYJYj3F3sodxW69z&isNeedFile=0&lang=TC,"['categoryTC', 'categoryPT', 'locationTC', 'locationPT', 'activity', 'participant']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['分類(中文)', '分類(葡文)', '地點(中文)', '地點(葡文)', '活動次數', '參加人數']","['分类(中文)', '分类(葡文)', '地点(中文)', '地点(葡文)', '活动次数', '参加人数']","['category(chinese)', 'category(português)', 'location(chinese)', 'location(português)', 'Actividades', 'No. De Part.']","['classificação(chinês)', 'classificação(português)', 'local(chinês)', 'local(português)', 'actividade', 'participante']",FALSE,,,,,,,,
General Health Care Category (Health Center) Health Center Medical Events,https://data.gov.mo/Detail?id=70c0289e-f52d-4b25-aca3-9e471af28e74,"General health care category (health center), a medical health center activities",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/70c0289e-f52d-4b25-aca3-9e471af28e74?token=GutvHojMxt7VHucJz1NdcKLnbWILiQdAN&isNeedFile=0&lang=TC,"['year', 'categoryTC', 'categoryPT', 'activity']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年度', '分類(中文)', '分類(葡文)', '醫務活動']","['年度', '分类(中文)', '分类(葡文)', '医务活动']","['year', 'category(chinese)', 'category(português)', 'medical activities']","['ano', 'classificação(chinês)', 'classificação(português)', 'actividade médica']",FALSE,,,,,,,,
The number of test general health care category (other) divided by virological test items,https://data.gov.mo/Detail?id=87db05f2-1040-45d5-a189-c72db7c70395,"General health care category (the other), the number of test items divided by virological testing",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/87db05f2-1040-45d5-a189-c72db7c70395?token=z4X1EsaxEA25SszPfP9Lhqhukc0K37z1B&isNeedFile=0&lang=TC,"['year', 'itemTC', 'itemPT', 'value']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年度', '檢驗項目(中文)', '檢驗項目(葡文)', '數值']","['年度', '检验项目(中文)', '检验项目(葡文)', '数值']","['year', 'parâmetros(chinese)', 'parâmetros(português)', 'value']","['ano', 'modalidade analítica(chinês)', 'modalidade analítica(português)', 'valor']",FALSE,,,,,,,,
CEPA Macao Service Supplier Certificate,https://data.gov.mo/Detail?id=a63ed7a4-c86e-48d2-b3e8-870155e8d156,Provided by sector classification of CEPA Macao Service Supplier Certificate statistics,Completely open,Entrepreneurship and Business,CSV,Economic and Technology Development Council,(853) 2888 2088,info@economia.gov.mo,Quarterly,https://api.data.gov.mo/document/download/a63ed7a4-c86e-48d2-b3e8-870155e8d156?token=1H3XlEpnnmJAB3u2Kqzc6QPeme7I3JGI&isNeedFile=0&lang=TC,"['Year', 'ChineseName', 'PortugueseName', 'Count']","['int', 'string', 'string', 'int']","['4', '*', '*', '-']","['年', '行業類別 （中文）', '行業類別 （中文）', '「澳門服務提供者證明書」數量']","['年', '行业类别（中文）', '行业类别（葡文）', '「澳门服务提供者证明书」数量']","['Year', 'Sector (Chinese)', 'Sector (Portuguese)', 'Certificados de Prestador de Serviços de Macau Emitidos']","['Ano', 'Sector (chinês)', 'Sector (português)', '""Macao Service Supplier"" Certificates Issued']",FALSE,,,,,,,,
The number of university students graduating from Macao Statistics,https://data.gov.mo/Detail?id=a7cf57a0-b0dd-458e-967a-4c78474559cb,"By way of the academic year, provided the total number of university students graduating from Macau.",Completely open,education,CSV,Council of Higher Education,（853）2834 5403,info@dses.gov.mo,Per year,https://api.data.gov.mo/document/download/a7cf57a0-b0dd-458e-967a-4c78474559cb?token=K3WxaR87cvlWdlpHbeFlCh1PWyxWrGche&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['-', '-']","['年份', '總畢業學生人數']","['年份', '总毕业学生人数']","['-', '-']","['Ano', 'Número de estudantes graduados']",FALSE,,,,,,,,
The number of beds in the hospital category Health Statistics,https://data.gov.mo/Detail?id=beed4ba9-6a7e-46dc-9fc3-ea4cc8f1533d,"Health category, the number of hospital beds statistics",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/beed4ba9-6a7e-46dc-9fc3-ea4cc8f1533d?token=7KCm4BqziN0pcBLxvSy1JkOYFaN39mDyo&isNeedFile=0&lang=TC,"['year', 'unitTC', 'unitPT', 'numberOfMedicalBeds']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年度', '單位(中文)', '單位(葡文)', '病床數目']","['年度', '单位(中文)', '单位(葡文)', '病床数目']","['year', 'unit(chinese)', 'unit(português)', 'number of medical beds']","['ano', 'unidade (chinês)', 'unidade (português)', 'camas de hospital']",FALSE,,,,,,,,
The number of test general health care category (other) divided by test items,https://data.gov.mo/Detail?id=dd3da9be-4785-49fc-9fdb-7fcc24edfc94,"General health care category (the other), the number of test items divided by test",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/dd3da9be-4785-49fc-9fdb-7fcc24edfc94?token=oa0LFXf6mzM0V00vnhEdNRWs2rn2A8SVE&isNeedFile=0&lang=TC,"['year', 'itemTC', 'itemPT', 'value']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年度', '檢驗項目(中文)', '檢驗項目(葡文)', '數值']","['年度', '检验项目(中文)', '检验项目(葡文)', '数值']","['year', 'parâmetros(chinese)', 'parâmetros(português)', 'value']","['ano', 'modalidade analítica(chinês)', 'modalidade analítica(português)', 'valor']",FALSE,,,,,,,,
The average price per square meter of office units,https://data.gov.mo/Detail?id=f736874d-3679-4fb4-82b6-31191b1dfc0d,"Per square meter of usable area, the average transaction price; only include storey office building or over ten stories.",Completely open,Entrepreneurship and Business,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,Quarterly,https://api.data.gov.mo/document/download/f736874d-3679-4fb4-82b6-31191b1dfc0d?token=hxOYjGPSkkV8noJn81WAb4Lafl9hrYna&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '澳門元/平方米']","['年份', '澳门元/平方米']","['Year', 'MOP/m2']","['Ano', 'MOP/m2']",FALSE,,,,,,,,
Specialized health care category divided by the specialist outpatient visits,https://data.gov.mo/Detail?id=fba9e857-c978-4ec8-942f-9a6263a453ed,"Specialized health care category, divided by the specialist outpatient visits",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/fba9e857-c978-4ec8-942f-9a6263a453ed?token=cxo40zPcC5PfRt9kh8gia8xjDEZTe2Dra&isNeedFile=0&lang=TC,"['year', 'specialtyTC', 'specialtyPT', 'count']","['-', '-', '-', '-']","['-', '-', '-', '-']","['年度', '專科(中文)', '專科(葡文)', '門診人次']","['年度', '专科(中文)', '专科(葡文)', '門診人次']","['year', 'specicalist(chinese)', 'specicalist(português)', 'outpatient visits']","['ano', 'especialidade(chinês)', 'especialidade(português)', 'Número de consultas externas']",FALSE,,,,,,,,
Human resources staff Staff by category belongs to divide distribution system,https://data.gov.mo/Detail?id=0d183407-720d-4289-b1fc-680ab062f8a9,"Human Resources category, belongs to the staff personnel distribution system partitioning",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/0d183407-720d-4289-b1fc-680ab062f8a9?token=mkWbuwvIICrFj45SURWmgESc6GpFWhaN&isNeedFile=0&lang=TC,"['groupTC', 'groupPT', 'system', 'count']","['-', '-', '-', '-']","['-', '-', '-', '-']","['職業組別(中文)', '職業組別(葡文)', '所屬系統', '人員數目']","['职业组别(中文)', '职业组别(葡文)', '所属系统', '人员数目']","['group(chinese)', 'group(português)', 'systems', 'number of personnels']","['grupo profissional(chinês)', 'grupo profissional(português)', 'sistema', 'número de trabalhadores']",FALSE,,,,,,,,
The number of inpatient specialized health care category divided by age group,https://data.gov.mo/Detail?id=3fd16e3f-dfb2-45cd-beb6-5eeae7d95894,"Specialized health care category, the number of patients divided according to age group",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/3fd16e3f-dfb2-45cd-beb6-5eeae7d95894?token=6zyDjX4cwIi5gFbziJ9CCmlvr1YkD69ha&isNeedFile=0&lang=TC,"['year', 'fromAge', 'toAge', 'gender', 'numberOfInpatient']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['年度', '歲數由', '歲數至', '性別', '住院病人數目']","['年度', '岁数由', '岁数至', '性别', '住院病人数目']","['year', 'lower age range', 'upper age range', 'gender', 'number of inpatients']","['ano', 'faixa etária inferior', 'faixa etária superior', 'gênero', 'number of inpatients']",FALSE,,,,,,,,
Specialized health care categories divided by age group outpatient visits,https://data.gov.mo/Detail?id=55a3937c-7aa1-427f-89c5-c0be92d20a0f,"Specialized health care category, divided by age group of outpatient visits",Completely open,medical hygiene,XLSX,Health Bureau,83905000,info@ssm.gov.mo,Per year,https://api.data.gov.mo/document/download/55a3937c-7aa1-427f-89c5-c0be92d20a0f?token=DdO5RDQ2lyXFd8ejDJxJraFBjS2XGk88&isNeedFile=0&lang=TC,"['year', 'fromAge', 'toAge', 'gender', 'count']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['年度', '歲數由', '歲數至', '性別', '門診人次']","['年度', '岁数由', '岁数至', '性别', '門診人次']","['year', 'lower age range', 'upper age range', 'gender', 'outpatient visits']","['ano', 'faixa etária inferior', 'faixa etária superior', 'sexo', 'número de consulta']",FALSE,,,,,,,,
The number of bus drivers,https://data.gov.mo/Detail?id=64e7adeb-a376-4129-a48f-72f2bd4dda63,The number of bus drivers,Completely open,Public transit,XLSX,Transport Bureau,88666363,info@dsat.gov.mo,Quarterly,https://api.data.gov.mo/document/download/64e7adeb-a376-4129-a48f-72f2bd4dda63?token=jdgH3FiqLfm63KN1EVqIpaP1vxrC0TR2x&isNeedFile=0&lang=TC,"['year', 'item', 'subitem', 'amount', 'month']","['number', 'string', 'string', 'number', 'number']","['10', '100', '100', '10', '10']","['年份', '項目', '子項目', '總數', '月份']","['年份', '项目', '子项目', '总数', '月份']","['--', '--', '--', '--', '--']","['--', '--', '--', '--', '--']",FALSE,,,,,,,,
